step,n_eps,mean_R,p_cert,q10,q50,q90
0,60,0.19989017335109455,0.9166666666666666,0.08850894655025963,0.24632626147808115,0.24632626147808115
1,60,0.1829139447984725,0.85,0.053818010285464714,0.2320971207555428,0.24632626147808115
2,60,0.19141997388141613,0.8833333333333333,0.06760414211155712,0.22676709012743348,0.24632626147808115
3,60,0.19124622312019557,0.8833333333333333,0.056668431034873394,0.22553011450370325,0.24632626147808115
4,60,0.1947653149006605,0.9,0.08132517788562268,0.22842918445157015,0.24632626147808115
5,60,0.1868770994320809,0.9,0.07516644502583361,0.22263104455583638,0.24632626147808115
6,60,0.20308943687882974,0.9333333333333333,0.11072122759458504,0.23576505705951548,0.24632626147808115
7,60,0.19380966301895752,0.8333333333333334,0.033466183610384975,0.24632626147808115,0.24632626147808115
8,60,0.18577503667317127,0.8333333333333334,0.041416644455866986,0.2410456592687983,0.24632626147808115
9,60,0.18260906604597824,0.8833333333333333,0.05619287248956761,0.22553011450370325,0.24632626147808115
10,60,0.19240502155923841,0.85,0.03271512732094416,0.2410456592687983,0.24632626147808115
11,60,0.18962210341554914,0.85,0.057451644437843376,0.24632626147808115,0.24632626147808115
12,60,0.2021246660311266,0.9333333333333333,0.09975977236868877,0.24632626147808115,0.24632626147808115
13,60,0.18921181153872974,0.8833333333333333,0.07093294387343178,0.24632626147808115,0.24632626147808115
14,60,0.19359292558996552,0.8666666666666667,0.06056905474885863,0.24632626147808115,0.24632626147808115
15,60,0.19232042227060017,0.8833333333333333,0.06237588097918524,0.24632626147808115,0.24632626147808115
16,60,0.1891751229399907,0.8833333333333333,0.048925510366167754,0.24632626147808115,0.24632626147808115
17,60,0.18171003175129835,0.85,0.030479959907985254,0.22553011450370325,0.24632626147808115
18,60,0.18800230402321585,0.8666666666666667,0.06786838107113231,0.22553011450370325,0.24632626147808115
19,60,0.18270430329407208,0.8333333333333334,0.04884565850645525,0.22553011450370325,0.24632626147808115
20,60,0.19235045413336474,0.8666666666666667,0.049010229404335665,0.2320971207555428,0.24632626147808115
21,60,0.18568959228175072,0.8666666666666667,0.051576288321308165,0.2410456592687983,0.24632626147808115
22,60,0.20214043365305698,0.8833333333333333,0.07131993094553891,0.24632626147808115,0.24632626147808115
23,60,0.18421778562720406,0.8333333333333334,0.030129994706405483,0.24632626147808115,0.24632626147808115
24,60,0.19203706376457091,0.8333333333333334,0.038603032201324404,0.24632626147808115,0.24632626147808115
25,60,0.18707488212746137,0.8833333333333333,0.06849428895714714,0.2410456592687983,0.24632626147808115
26,60,0.1966325901680965,0.85,0.04554565262259793,0.24632626147808115,0.24632626147808115
27,60,0.20169885450356975,0.9333333333333333,0.08218727030566528,0.24632626147808115,0.24632626147808115
28,60,0.19744114785946845,0.8333333333333334,0.05429698240492386,0.24632626147808115,0.24632626147808115
29,60,0.2026722146007668,0.8666666666666667,0.0644556417304481,0.24632626147808115,0.24632626147808115
30,60,0.19960324423860165,0.9,0.10856833825420206,0.24632626147808115,0.24632626147808115
